Linux 6.14.0-33-generic (revathy-Lenovo-ideapad-130-15IKB) 	11/23/2025 	_x86_64_	(8 CPU)

01:09:55 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
01:10:02 PM     0     33399    0.00    1.00    0.00    0.00    1.00     7  kworker/u32:2-events_unbound
01:10:02 PM     0     33673    0.00    1.00    0.00    0.00    1.00     6  kworker/6:0-events
01:10:02 PM  1000     34894   72.00   24.00    0.00    0.00   96.00     0  server
01:10:02 PM   122     34895    1.00    0.00    0.00    0.00    1.00     2  postgres
01:10:02 PM   122     34897    1.00    0.00    0.00    0.00    1.00     6  postgres
01:10:02 PM   122     34899    1.00    1.00    0.00    0.00    2.00     2  postgres
01:10:02 PM   122     34900    1.00    0.00    0.00    0.00    1.00     7  postgres
01:10:02 PM   122     34913    1.00    0.00    0.00    0.00    1.00     6  postgres
01:10:02 PM   122     34915    1.00    0.00    0.00    0.00    1.00     1  postgres
01:10:02 PM   122     34919    1.00    0.00    0.00    0.00    1.00     5  postgres
01:10:02 PM   122     34938    1.00    0.00    0.00    0.00    1.00     6  postgres
01:10:02 PM   122     34943    1.00    0.00    0.00    0.00    1.00     5  postgres
01:10:02 PM   122     34948    0.00    1.00    0.00    0.00    1.00     4  postgres
01:10:02 PM   122     34954    1.00    0.00    0.00    0.00    1.00     7  postgres
01:10:02 PM   122     34958    1.00    0.00    0.00    0.00    1.00     5  postgres
01:10:02 PM   122     34965    1.00    0.00    0.00    0.00    1.00     3  postgres
01:10:02 PM   122     34971    1.00    0.00    0.00    0.00    1.00     5  postgres
01:10:02 PM   122     34979    1.00    0.00    0.00    0.00    1.00     3  postgres
01:10:02 PM   122     34980    1.00    0.00    0.00    0.00    1.00     7  postgres
01:10:02 PM   122     34983    1.00    0.00    0.00    0.00    1.00     6  postgres
01:10:02 PM     0     34996    0.00    3.00    0.00    0.00    3.00     5  kworker/u32:4-events_unbound
01:10:02 PM  1000     34999    1.00    1.00    0.00    0.00    2.00     7  pidstat
01:10:02 PM  1000     35001   83.00   27.00    0.00    0.00  110.00     1  load_generator

01:10:02 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
