Linux 6.14.0-33-generic (revathy-Lenovo-ideapad-130-15IKB) 	11/23/2025 	_x86_64_	(8 CPU)

12:51:24 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
12:51:29 PM   122     33928    1.00    0.00    0.00    0.00    1.00     1  postgres
12:51:29 PM   122     33929    1.00    0.00    0.00    0.00    1.00     5  postgres
12:51:29 PM   122     33932    0.00    1.00    0.00    0.00    1.00     7  postgres
12:51:29 PM   122     33938    0.00    1.00    0.00    0.00    1.00     6  postgres
12:51:29 PM  1000     33968   80.00   29.00    0.00    0.00  109.00     4  load_generator
12:51:29 PM  1000     33983    0.00    1.00    0.00    0.00    1.00     2  pidstat

12:51:29 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
12:51:30 PM  1000      2244    1.00    0.00    0.00    0.00    1.00     1  gnome-shell
12:51:30 PM  1000     31254    1.00    0.00    0.00    0.00    1.00     7  firefox
12:51:30 PM     0     32452    0.00    1.00    0.00    0.00    1.00     7  kworker/u32:3-events_unbound
12:51:30 PM  1000     32490   21.00   23.00    0.00    0.00   44.00     4  gnome-terminal-
12:51:30 PM     0     33399    0.00    3.00    0.00    0.00    3.00     1  kworker/u32:2-events_unbound
12:51:30 PM  1000     33605    1.00    0.00    0.00    0.00    1.00     6  code
12:51:30 PM     0     33725    0.00    3.00    0.00    0.00    3.00     6  kworker/u32:4-events_unbound
12:51:30 PM  1000     33852   74.00   20.00    0.00    0.00   94.00     0  server
12:51:30 PM   122     33856    0.00    1.00    0.00    0.00    1.00     2  postgres
12:51:30 PM   122     33862    0.00    1.00    0.00    0.00    1.00     7  postgres
12:51:30 PM   122     33865    1.00    0.00    0.00    0.00    1.00     3  postgres
12:51:30 PM   122     33866    1.00    0.00    0.00    0.00    1.00     7  postgres
12:51:30 PM   122     33867    0.00    1.00    0.00    0.00    1.00     1  postgres
12:51:30 PM   122     33870    1.00    0.00    0.00    0.00    1.00     4  postgres
12:51:30 PM   122     33873    1.00    0.00    0.00    0.00    1.00     5  postgres
12:51:30 PM   122     33882    1.00    0.00    0.00    0.00    1.00     5  postgres
12:51:30 PM   122     33885    1.00    0.00    0.00    0.00    1.00     7  postgres
12:51:30 PM   122     33889    1.00    0.00    0.00    0.00    1.00     7  postgres
12:51:30 PM   122     33892    1.00    0.00    0.00    0.00    1.00     1  postgres
12:51:30 PM   122     33893    1.00    0.00    0.00    0.00    1.00     6  postgres
12:51:30 PM   122     33896    1.00    0.00    0.00    0.00    1.00     4  postgres
12:51:30 PM   122     33905    1.00    0.00    0.00    0.00    1.00     7  postgres
